trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach_unsup,config.beta_mach_sup,config.alpha_prof,config.alpha_mach,config.start_sup_time,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size,config.dataset_choice,config.scheduler_step,config.mp_hdims_aux,config.mp_hdims_cond
aa7e5_00041,0.17954249680042267,20.529285430908203,0.0808190405368805,0.7048665881156921,2.2017526626586914,True,,,50,2f2f422868aa40fc88938c3cfc3037fe,2022-04-27_01-23-22,1651011802,111.36390328407288,654654,adam-der-physiker,192.168.1.121,111.36390328407288,0,50,"41_alpha_prof=401,beta_mach_unsup=0.0002",0.003,9,3,1.0,0.0002,10.0,401,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00042,0.16485019028186798,13.563788414001465,2.246119260787964,0.6987720131874084,2.138404130935669,True,,,50,089f8baff6a64167931e4ff2c0800e98,2022-04-27_01-23-40,1651011820,113.00707936286926,655782,adam-der-physiker,192.168.1.121,113.00707936286926,0,50,"42_alpha_prof=408,beta_mach_unsup=0.0176",0.003,9,3,1.0,0.0176,10.0,408,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00043,0.17742158472537994,11.837957382202148,0.02237675152719021,0.7066993117332458,2.167313575744629,True,,,50,8869e18afa8b45c784ce4363a343e252,2022-04-27_01-25-17,1651011917,112.345223903656,663616,adam-der-physiker,192.168.1.121,112.345223903656,0,50,"43_alpha_prof=345,beta_mach_unsup=0.0569",0.003,9,3,1.0,0.056900000000000006,10.0,345,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00044,0.38920602202415466,15.060395240783691,4.712666034698486,0.8443562984466553,2.233365774154663,True,,,35,ff3930c83c454dd2893aeb5e0abb704b,2022-04-27_01-25-01,1651011901,78.63779807090759,664832,adam-der-physiker,192.168.1.121,78.63779807090759,0,35,"44_alpha_prof=928,beta_mach_unsup=0.0007",0.003,9,3,1.0,0.0007,10.0,928,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00045,0.18278555572032928,22.295557022094727,0.3156410753726959,0.7169474363327026,2.137232780456543,True,,,50,afc6adfb7b054207af44d91d39cda63d,2022-04-27_01-26-57,1651012017,113.53322672843933,671248,adam-der-physiker,192.168.1.121,113.53322672843933,0,50,"45_alpha_prof=288,beta_mach_unsup=0.0003",0.003,9,3,1.0,0.00030000000000000003,10.0,288,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00046,0.388663649559021,20.764183044433594,4.4772796630859375,0.8399561047554016,2.161227226257324,True,,,35,350a3cc6b97f4d66a9e42ab55a5ba337,2022-04-27_01-26-37,1651011997,78.27579712867737,672377,adam-der-physiker,192.168.1.121,78.27579712867737,0,35,"46_alpha_prof=873,beta_mach_unsup=0.0001",0.003,9,3,1.0,0.0001,10.0,873,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00047,0.4166925549507141,6.49125862121582,0.018927376717329025,0.8306354284286499,2.1641879081726074,True,,,35,b75448cdfa6b443592c7698ebf3849d7,2022-04-27_01-27-59,1651012079,78.8501968383789,678790,adam-der-physiker,192.168.1.121,78.8501968383789,0,35,"47_alpha_prof=166,beta_mach_unsup=0.0514",0.003,9,3,1.0,0.0514,10.0,166,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00048,0.3526448905467987,34.40414047241211,3.4527437686920166,0.842098593711853,2.1475789546966553,True,,,35,7806f891131440b6b2352822b2bc34f0,2022-04-27_01-28-17,1651012097,78.47374820709229,680182,adam-der-physiker,192.168.1.121,78.47374820709229,0,35,"48_alpha_prof=600,beta_mach_unsup=0.0002",0.003,9,3,1.0,0.0002,10.0,600,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00049,0.416734904050827,7.047211170196533,0.026513827964663506,0.8116991519927979,2.2015693187713623,True,,,35,ca6d6326de504faf94aa177d946068c2,2022-04-27_01-29-20,1651012160,79.12383437156677,685102,adam-der-physiker,192.168.1.121,79.12383437156677,0,35,"49_alpha_prof=202,beta_mach_unsup=0.0843",0.003,9,3,1.0,0.0843,10.0,202,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00050,0.1588602215051651,14.298789024353027,5.284719944000244,0.7038366794586182,2.1433773040771484,True,,,50,78348408fa20441faeeb4a0d6eb552ba,2022-04-27_01-30-11,1651012211,111.53551721572876,686496,adam-der-physiker,192.168.1.121,111.53551721572876,0,50,"50_alpha_prof=608,beta_mach_unsup=0.061",0.003,9,3,1.0,0.061000000000000006,10.0,608,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
