,shot,dda,FLAG:HRTSdatavalidated
487,81768.0,T001/rfrid,1.0
488,81771.0,T006/lfrassin,1.0
489,81794.0,T001/lfrassin,1.0
490,81795.0,T001/lfrassin,1.0
491,81798.0,T001/lfrassin,1.0
492,81798.0,T002/lfrassin,1.0
493,81803.0,T001/lfrassin,2.0
494,81810.0,T008/lfrassin,1.0
495,81814.0,T009/lfrassin,1.0
496,81818.0,T005/lfrassin,1.0
497,81818.0,T006/lfrassin,1.0
498,81819.0,T005/lfrassin,2.0
499,81819.0,T006/lfrassin,2.0
500,81822.0,T005/lfrassin,1.0
501,81822.0,T006/lfrassin,1.0
502,81824.0,T001/rfrid,1.0
503,81824.0,T002/rfrid,1.0
504,81826.0,T001/rfrid,2.0
505,81829.0,T001/rfrid,1.0
506,81834.0,T001/rfrid,1.0
507,81835.0,T001/rfrid,1.0
508,81836.0,T001/rfrid,1.0
509,81837.0,T001/rfrid,1.0
510,81839.0,T006/lfrassin,1.0
511,81839.0,T007/lfrassin,1.0
512,81911.0,T001/rfrid,1.0
513,81912.0,T001/rfrid,1.0
514,81917.0,T001/rfrid,1.0
515,81979.0,T005/lfrassin,1.0
516,81979.0,T006/lfrassin,1.0
517,81980.0,T001/rfrid,1.0
518,81981.0,T005/lfrassin,1.0
519,81981.0,T006/lfrassin,1.0
520,81982.0,T005/lfrassin,1.0
521,81982.0,T009/lfrassin,1.0
522,81996.0,T005/lfrassin,1.0
523,81996.0,T002/rfrid,1.0
524,81997.0,T001/rfrid,1.0
525,81997.0,T002/rfrid,1.0
526,81998.0,T001/rfrid,1.0
527,81998.0,T002/rfrid,1.0
528,81999.0,T007/lfrassin,1.0
529,81999.0,T006/lfrassin,1.0
530,82035.0,T001/rfrid,1.0
531,82120.0,T001/rfrid,1.0
532,82122.0,T001/rfrid,1.0
533,82123.0,T005/lfrassin,1.0
534,82127.0,T001/rfrid,1.0
535,82129.0,T001/rfrid,2.0
536,82130.0,T001/rfrid,1.0
537,82137.0,T001/rfrid,1.0
538,82138.0,T001/rfrid,1.0
539,82140.0,T001/rfrid,1.0
540,82191.0,T001/rfrid,1.0
541,82192.0,T005/lfrassin,1.0
542,82193.0,T005/lfrassin,1.0
543,82196.0,T013/lfrassin,1.0
544,82196.0,T012/lfrassin,1.0
545,82198.0,T003/lfrassin,0.0
546,82198.0,T002/lfrassin,0.0
547,82197.0,T005/lfrassin,1.0
548,82200.0,T003/lfrassin,1.0
549,82201.0,T003/lfrassin,1.0
550,82202.0,T003/lfrassin,1.0
551,82203.0,T007/lfrassin,1.0
552,82203.0,T008/lfrassin,1.0
553,82215.0,T001/rfrid,2.0
554,82216.0,T001/rfrid,1.0
555,82217.0,T001/rfrid,1.0
556,82232.0,T001/rfrid,1.0
557,82233.0,T001/rfrid,1.0
558,82234.0,T001/rfrid,1.0
559,82237.0,T001/rfrid,1.0
560,82238.0,T006/lfrassin,1.0
561,82238.0,T007/lfrassin,1.0
562,82239.0,T001/rfrid,1.0
563,82241.0,T001/rfrid,1.0
564,82242.0,T001/rfrid,1.0
565,82257.0,T001/rfrid,1.0
566,82262.0,T001/rfrid,1.0
567,82263.0,T001/lfrassin,1.0
568,82283.0,T005/lfrassin,1.0
569,82284.0,T001/rfrid,1.0
570,82305.0,T008/lfrassin,1.0
571,82305.0,T009/lfrassin,1.0
572,82433.0,T003/lfrassin,1.0
573,82435.0,T037/lfrassin,1.0
574,82436.0,T034/lfrassin,0.0
575,82447.0,T041/lfrassin,1.0
576,82480.0,T001/rfrid,1.0
577,82486.0,T003/lfrassin,1.0
578,82486.0,T005/lfrassin,1.0
579,82488.0,T001/rfrid,1.0
580,82488.0,T002/rfrid,1.0
581,82495.0,T003/lfrassin,1.0
582,82496.0,T005/lfrassin,1.0
583,82497.0,T003/lfrassin,1.0
584,82535.0,T004/lfrassin,1.0
585,82536.0,T007/lfrassin,1.0
586,82537.0,T001/rfrid,1.0
587,82539.0,T001/rfrid,1.0
588,82540.0,T069/lfrassin,1.0
589,82541.0,T001/rfrid,1.0
590,82545.0,T005/lfrassin,1.0
591,82547.0,T004/lfrassin,1.0
592,82548.0,T006/lfrassin,1.0
593,82548.0,T005/lfrassin,1.0
594,82549.0,T023/lfrassin,1.0
595,82550.0,T059/lfrassin,1.0
596,82551.0,T034/lfrassin,2.0
597,82555.0,T004/lfrassin,2.0
598,82556.0,T003/lfrassin,2.0
599,82557.0,T003/lfrassin,1.0
600,82558.0,T001/lfrassin,1.0
601,82576.0,T003/lfrassin,1.0
602,82581.0,T001/rfrid,1.0
603,82584.0,T001/rfrid,0.0
604,82585.0,T001/rfrid,1.0
605,82588.0,T001/rfrid,1.0
606,82590.0,T001/rfrid,2.0
607,82628.0,T001/rfrid,1.0
608,82628.0,T002/rfrid,1.0
609,82630.0,T001/rfrid,1.0
610,82630.0,T002/rfrid,1.0
611,82631.0,T041/lfrassin,1.0
612,82631.0,T042/lfrassin,1.0
613,82631.0,T044/lfrassin,1.0
614,82633.0,T057/lfrassin,1.0
615,82633.0,T058/lfrassin,1.0
616,82633.0,T059/lfrassin,1.0
617,82635.0,T044/lfrassin,1.0
618,82636.0,T046/lfrassin,1.0
619,82636.0,T045/lfrassin,1.0
620,82638.0,T002/pbilkova,1.0
621,82641.0,T006/lfrassin,1.0
622,82643.0,T029/lfrassin,1.0
623,82643.0,T030/lfrassin,1.0
624,82644.0,T035/lfrassin,1.0
625,82644.0,T036/lfrassin,1.0
626,82645.0,T017/lfrassin,1.0
627,82645.0,T018/lfrassin,1.0
628,82647.0,T006/lfrassin,1.0
629,82649.0,T001/lfrassin,1.0
630,82651.0,T018/lfrassin,1.0
631,82650.0,T002/pbilkova,1.0
632,82659.0,T020/lfrassin,1.0
633,82660.0,T019/lfrassin,1.0
634,82661.0,T019/lfrassin,1.0
635,82662.0,T001/lfrassin,1.0
636,82666.0,T002/lfrassin,1.0
637,82667.0,T003/lfrassin,1.0
638,82668.0,T002/lfrassin,0.0
639,82669.0,T001/lfrassin,0.0
640,82670.0,T005/lfrassin,1.0
641,82670.0,T006/lfrassin,1.0
642,82671.0,T001/lfrassin,0.0
643,82672.0,T003/lfrassin,1.0
644,82686.0,T001/lfrassin,1.0
645,82686.0,T002/lfrassin,1.0
646,82705.0,T001/lfrassin,0.0
647,82706.0,T001/lfrassin,0.0
648,82708.0,T002/lfrassin,0.0
649,82717.0,T002/pbilkova,3.0
650,82718.0,T005/lfrassin,3.0
651,82722.0,T005/lfrassin,3.0
652,82725.0,T002/pbilkova,3.0
653,82751.0,T006/lfrassin,3.0
654,82751.0,T005/lfrassin,3.0
655,82752.0,T004/lfrassin,3.0
656,82752.0,T005/lfrassin,3.0
657,82753.0,T003/lfrassin,3.0
658,82755.0,T006/lfrassin,3.0
659,82755.0,T007/lfrassin,3.0
660,82777.0,T001/pbilkova,2.0
661,82778.0,T002/pbilkova,3.0
662,82787.0,T001/pbilkova,3.0
663,82789.0,T001/pbilkova,3.0
664,82790.0,T002/pbilkova,3.0
665,82791.0,T003/pbilkova,0.0
666,82791.0,T004/pbilkova,0.0
667,82792.0,T001/pbilkova,3.0
668,82792.0,T002/pbilkova,3.0
669,82794.0,T007/lfrassin,3.0
670,82800.0,T009/lfrassin,3.0
671,82804.0,T001/pbilkova,3.0
672,82804.0,T002/pbilkova,3.0
673,82806.0,T001/pbilkova,3.0
674,82807.0,T001/pbilkova,3.0
675,82807.0,T003/lfrassin,3.0
676,82810.0,T070/lfrassin,3.0
677,82811.0,T001/pbilkova,3.0
678,82812.0,T001/pbilkova,3.0
679,82813.0,T001/pbilkova,3.0
680,82814.0,T008/lfrassin,3.0
681,82815.0,T001/pbilkova,3.0
682,82816.0,T001/pbilkova,3.0
683,82817.0,T001/pbilkova,3.0
684,82819.0,T007/lfrassin,3.0
685,82820.0,T001/pbilkova,3.0
686,82821.0,T001/pbilkova,0.0
687,82824.0,T001/pbilkova,0.0
688,82825.0,T001/pbilkova,0.0
689,82827.0,T001/pbilkova,0.0
690,82828.0,T001/pbilkova,0.0
691,82830.0,T002/lfrassin,0.0
692,82830.0,T003/lfrassin,0.0
693,82831.0,T001/pbilkova,0.0
694,82847.0,T001/pbilkova,0.0
695,82848.0,T001/pbilkova,0.0
696,82849.0,T001/pbilkova,0.0
697,82850.0,T001/pbilkova,0.0
698,82851.0,T001/lfrassin,0.0
699,82852.0,T001/pbilkova,0.0
700,82853.0,T001/pbilkova,0.0
701,82854.0,T001/pbilkova,0.0
702,82854.0,T003/lfrassin,0.0
703,82855.0,T001/lfrassin,0.0
704,82855.0,T002/lfrassin,0.0
705,82856.0,T001/pbilkova,0.0
706,82863.0,T001/pbilkova,1.0
707,82864.0,T001/pbilkova,1.0
708,82866.0,T001/lfrassin,1.0
709,82868.0,T001/lfrassin,1.0
710,82870.0,T002/lfrassin,0.0
711,82871.0,T001/pbilkova,0.0
712,82872.0,T001/pbilkova,0.0
713,82872.0,T002/pbilkova,0.0
714,82873.0,T001/pbilkova,0.0
715,82874.0,T001/pbilkova,2.0
