trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size
2a038_00170,0.06401032209396362,37.18403625488281,2.154296875,0.5416823625564575,6.016941070556641,True,,,40.0,495db08bc5b146fda747e1a1d7d4e01f,2022-04-06_09-28-04,1649226484.0,238.4432270526886,756614.0,adam-der-physiker,192.168.0.9,238.4432270526886,0.0,40.0,"170_encoder_end_dense_size=128,mach_latent_dim=10",0.003,10.0,3.0,0.001,100.0,1.0,1.0,False,0.0,128.0
2a038_00171,0.7367973327636719,26.30649757385254,9.1560661985568e-07,0.6387543678283691,5.779791831970215,True,,,40.0,8bd5fa0db5a74fd489eba5cdd89c4288,2022-04-06_09-31-36,1649226696.0,233.7659022808075,763342.0,adam-der-physiker,192.168.0.9,233.7659022808075,0.0,40.0,"171_encoder_end_dense_size=144,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,144.0
2a038_00172,0.21466228365898132,26.909996032714844,1.8071489334106445,0.6404049396514893,5.913499116897583,True,,,40.0,b89cf751d8d243758c511d970d1bdfd1,2022-04-06_09-32-01,1649226721.0,234.14091157913208,764156.0,adam-der-physiker,192.168.0.9,234.14091157913208,0.0,40.0,"172_encoder_end_dense_size=128,mach_latent_dim=7",0.003,7.0,3.0,0.001,100.0,1.0,1.0,False,0.0,128.0
2a038_00173,0.06486501544713974,43.9945068359375,0.2514689862728119,0.4979604184627533,6.0638792514801025,True,,,50.0,a5cd4d7a2f0042699ea7ca65f4520523,2022-04-06_09-36-40,1649227000.0,302.1614935398102,770916.0,adam-der-physiker,192.168.0.9,302.1614935398102,0.0,50.0,"173_encoder_end_dense_size=224,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,224.0
2a038_00174,0.5017324686050415,30.55492401123047,1.900861382484436,0.5488834977149963,6.214315414428711,True,,,40.0,f0aa924b026e4ef4986d0e2aa623c777,2022-04-06_09-36-12,1649226972.0,249.2207863330841,771729.0,adam-der-physiker,192.168.0.9,249.2207863330841,0.0,40.0,"174_encoder_end_dense_size=464,mach_latent_dim=6",0.003,6.0,3.0,0.001,100.0,1.0,1.0,False,0.0,464.0
2a038_00175,0.22265620529651642,77.03271484375,1.116269588470459,0.662450909614563,6.623551607131958,False,,,12.0,1eacdcacbdca40c0bbb5c8e0824ee335,2022-04-06_09-37-37,1649227057.0,82.32641577720642,779470.0,adam-der-physiker,192.168.0.9,82.32641577720642,0.0,12.0,"175_encoder_end_dense_size=736,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,736.0
2a038_00176,0.7365803718566895,28.754465103149414,6.8214517341402825e-06,0.5061944723129272,6.2517101764678955,True,,,50.0,1cbd06c9803e47d5a448041329fa9cad,2022-04-06_09-41-56,1649227316.0,312.8557734489441,780277.0,adam-der-physiker,192.168.0.9,312.8557734489441,0.0,50.0,"176_encoder_end_dense_size=448,mach_latent_dim=6",0.003,6.0,3.0,0.001,100.0,1.0,1.0,False,0.0,448.0
2a038_00177,0.29516416788101196,50.219120025634766,0.014148244634270668,0.6176171898841858,6.421428918838501,True,,,40.0,73526fdab0e34ee3a84058354631e215,2022-04-06_09-42-05,1649227325.0,260.1119577884674,782081.0,adam-der-physiker,192.168.0.9,260.1119577884674,0.0,40.0,"177_encoder_end_dense_size=656,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,656.0
2a038_00178,0.29325175285339355,49.39689254760742,0.01006897073239088,0.4927927553653717,6.273433208465576,True,,,50.0,69eae186bafa4f11b86683b03ef155ed,2022-04-06_09-47-19,1649227639.0,320.67009472846985,789530.0,adam-der-physiker,192.168.0.9,320.67009472846985,0.0,50.0,"178_encoder_end_dense_size=560,mach_latent_dim=10",0.003,10.0,3.0,0.001,100.0,1.0,1.0,False,0.0,560.0
2a038_00179,0.08550001680850983,80.14752960205078,2.334179162979126,0.5515890121459961,6.892406940460205,False,,,16.0,4d584a4a0c4f4f89aa6a546e32055d15,2022-04-06_09-44-01,1649227441.0,113.42553281784058,789825.0,adam-der-physiker,192.168.0.9,113.42553281784058,0.0,16.0,"179_encoder_end_dense_size=1008,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,1008.0
2a038_00180,0.736689567565918,34.4564208984375,8.987520914160996e-07,0.6454380750656128,6.186845064163208,True,,,40.0,1fc72c110ba649369014a699c6387f83,2022-04-06_09-48-11,1649227691.0,245.6808159351349,793177.0,adam-der-physiker,192.168.0.9,245.6808159351349,0.0,40.0,"180_encoder_end_dense_size=352,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,352.0
2a038_00181,0.057193174958229065,44.589046478271484,1.7003284692764282,0.5041466951370239,5.987415552139282,True,,,50.0,41ebe5b6a2064bf09b59bf123254e8a2,2022-04-06_09-52-25,1649227945.0,304.0871968269348,799038.0,adam-der-physiker,192.168.0.9,304.0871968269348,0.0,50.0,"181_encoder_end_dense_size=272,mach_latent_dim=11",0.003,11.0,3.0,0.001,100.0,1.0,1.0,False,0.0,272.0
2a038_00182,0.06950793415307999,41.611541748046875,3.1157877445220947,0.5076192021369934,6.446417570114136,True,,,50.0,56ba4fba8780476f85e179c6f02d2c22,2022-04-06_09-53-33,1649228013.0,319.4550817012787,800637.0,adam-der-physiker,192.168.0.9,319.4550817012787,0.0,50.0,"182_encoder_end_dense_size=512,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,512.0
