trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach
61aa9_00428,0.05658358708024025,33.288673400878906,7.405575275421143,0.5132869482040405,5.208481788635254,True,,,50,cd627c15c4f3421da581ab2d046a09cf,2022-02-13_16-42-17,1644763337,283.5379180908203,115423,g6201.mahti.csc.fi,10.141.5.206,283.5379180908203,0,50,"428_beta_stoch=0.0005,mach_latent_dim=7",0.003,7,0.0005,100,1.0,1.0
61aa9_00429,0.2545729875564575,4.689541816711426,1.9576864360715263e-05,0.6570449471473694,5.405978202819824,True,,,40,70543136995347a8a028ffe3502eac8b,2022-02-13_16-41-27,1644763287,214.40416765213013,121562,g6201.mahti.csc.fi,10.141.5.206,214.40416765213013,0,40,"429_beta_stoch=0.20395,mach_latent_dim=14",0.003,14,0.20395000000000002,100,1.0,1.0
61aa9_00430,0.153189554810524,4.051258087158203,4.016238563053776e-06,0.5724257230758667,5.597048282623291,True,,,50,921d8b0f55cf419ea836d361674ddb2a,2022-02-13_16-44-14,1644763454,284.0522840023041,139055,g6201.mahti.csc.fi,10.141.5.206,284.0522840023041,0,50,"430_beta_stoch=0.9916,mach_latent_dim=10",0.003,10,0.9916,100,1.0,1.0
61aa9_00431,0.2532448470592499,4.318249225616455,6.723004389641574e-06,0.6654896140098572,5.265268802642822,True,,,40,6c880471669345dcadda75a03379e78e,2022-02-13_16-44-49,1644763489,234.74763083457947,149654,g6201.mahti.csc.fi,10.141.5.206,234.74763083457947,0,40,"431_beta_stoch=0.3053,mach_latent_dim=7",0.003,7,0.3053,100,1.0,1.0
61aa9_00432,0.09514406323432922,34.64812088012695,10.732254981994629,0.5130481719970703,5.204514265060425,True,,,50,363205b5b3b94024a566bd23d11b7c27,2022-02-13_16-45-25,1644763525,268.9296364784241,149878,g6201.mahti.csc.fi,10.141.5.206,268.9296364784241,0,50,"432_beta_stoch=0.0002,mach_latent_dim=9",0.003,9,0.0002,100,1.0,1.0
61aa9_00433,0.3052404820919037,34.03168487548828,0.01020619086921215,0.6497160792350769,5.415402889251709,True,,,40,5aec516a747040b28ffe111456a9449a,2022-02-13_16-44-42,1644763482,225.43568587303162,149982,g6201.mahti.csc.fi,10.141.5.206,225.43568587303162,0,40,"433_beta_stoch=0.00215,mach_latent_dim=13",0.003,13,0.00215,100,1.0,1.0
61aa9_00434,0.06915441155433655,13.12226390838623,0.0001344898482784629,0.521005392074585,5.007930278778076,True,,,50,45de12f309114d69b0b5f05f368c60ab,2022-02-13_16-45-16,1644763516,251.16375207901,150547,g6201.mahti.csc.fi,10.141.5.206,251.16375207901,0,50,"434_beta_stoch=0.0607,mach_latent_dim=8",0.003,8,0.060700000000000004,100,1.0,1.0
61aa9_00435,0.7367736101150513,4.1680989265441895,5.10841755385627e-06,0.5616896152496338,5.539094686508179,True,,,40,e01608dd0ee349648350f4dc16110176,2022-02-13_16-45-05,1644763505,226.47862434387207,161114,g6201.mahti.csc.fi,10.141.5.206,226.47862434387207,0,40,"435_beta_stoch=0.2565,mach_latent_dim=13",0.003,13,0.2565,100,1.0,1.0
61aa9_00436,0.20491555333137512,53.30781173706055,8.622499465942383,0.625268280506134,5.083859443664551,True,,,50,67d4526947f04e3bb366f123ecfb7f8a,2022-02-13_16-46-02,1644763562,272.69138860702515,164489,g6201.mahti.csc.fi,10.141.5.206,272.69138860702515,0,50,"436_beta_stoch=0.0001,mach_latent_dim=14",0.003,14,0.0001,100,1.0,1.0
61aa9_00437,0.30103033781051636,27.920053482055664,0.00062097905902192,0.6384826302528381,4.945298671722412,True,,,40,966259b8a2cb480dbd13be7aa5ed79ab,2022-02-13_16-45-46,1644763546,205.9242446422577,174052,g6201.mahti.csc.fi,10.141.5.206,205.9242446422577,0,40,"437_beta_stoch=0.0036,mach_latent_dim=13",0.003,13,0.0036000000000000003,100,1.0,1.0
61aa9_00438,0.21381232142448425,19.24351692199707,0.0012892461381852627,0.6313691139221191,5.923998117446899,True,,,50,5506a29c2960412d9ee245e51643dc66,2022-02-13_16-48-58,1644763738,280.9936275482178,195720,g6201.mahti.csc.fi,10.141.5.206,280.9936275482178,0,50,"438_beta_stoch=0.0245,mach_latent_dim=14",0.003,14,0.0245,100,1.0,1.0
61aa9_00439,0.2986729145050049,41.18910217285156,0.008141246624290943,0.6409682035446167,5.034921646118164,True,,,40,cf0b38d1d26a46e38ad27d347c78dfbf,2022-02-13_16-48-14,1644763694,209.27979636192322,201920,g6201.mahti.csc.fi,10.141.5.206,209.27979636192322,0,40,"439_beta_stoch=0.0007,mach_latent_dim=13",0.003,13,0.0007,100,1.0,1.0
61aa9_00440,0.07065775990486145,10.001818656921387,0.00010211184417130426,0.5226747989654541,4.88146185874939,True,,,50,25d33738fe4b44429f077dd3b0bb77b2,2022-02-13_16-49-04,1644763744,252.8615231513977,202569,g6201.mahti.csc.fi,10.141.5.206,252.8615231513977,0,50,"440_beta_stoch=0.11335,mach_latent_dim=7",0.003,7,0.11335,100,1.0,1.0
